feature,group,units,in_tchp_recipe,in_d26_recipe,definition,computation,code,n_valid,pct_missing_imputed,coverage_all_rows_pct,mean,std,min,p01,p25,median,p75,p99,max,mode,mode_note
year,Calendar,year,True,True,Calendar year of the Argo profile's observation date.,Taken from the profile date.,build_rtofs_at_argo_points_multiyear.py,81183,0.0,100.0,2024.5238411982805,0.4994312738150797,2024.0,2024.0,2024.0,2025.0,2025.0,2025.0,2025.0,2025.0,52.4% of rows
month_int,Calendar,1-12,True,True,Month m of the observation date.,`x['month'].astype(int)`.,benchmark_rtofs_argo_tabular_models.py::_prepare_features,81183,0.0,100.0,6.769064952021975,3.190239597160847,1.0,1.0,4.0,7.0,9.0,12.0,12.0,8.0,10.3% of rows
lat,Location,deg N,True,True,Latitude of the Argo profile as reported by the float.,From the Argo profile file.,build_global_argo_2020_2024.py,81183,0.0,100.0,6.980170656143651,15.15641143813086,-35.284218333333335,-24.86247113873291,-3.314585,6.739133,18.1777,38.715620866666626,43.8655465,-0.3846076373830165,modal bin (continuous)
lon,Location,deg E,True,True,Longitude of the Argo profile as reported by the float.,From the Argo profile file.,build_global_argo_2020_2024.py,81183,0.0,100.0,5.986170061345647,116.0452505280678,-179.99784,-177.882,-95.14132000000001,-1.87527,126.774,177.4389324,179.9989,165.0026685,modal bin (continuous)
abs_lat,Location,deg,True,True,"|lat|, distance from the equator in degrees.",`np.abs(x['lat'])`.,_prepare_features,81183,0.0,100.0,13.581211864973637,9.694858139730163,0.0,0.12494600000000002,5.281359999999999,12.33043,20.221935000000002,38.715620866666626,43.8655465,0.3179479833333333,modal bin (continuous)
nearest_rtofs_grid_distance_km,Location / collocation,km,True,True,Great-circle distance from the Argo position to the nearest RTOFS native grid-cell centre.,KD-tree on unit-sphere coordinates for the 8 nearest cells; chord c converted to arc 6371 * 2 asin(c/2); the smallest of the 8 is kept. Bounded by half the cell diagonal.,build_rtofs_at_argo_points_multiyear.py:140,81183,0.0,100.0,3.262466840210055,1.2254859041115658,0.005502972677348601,0.4899166004599187,2.393002886881942,3.384969336956809,4.17393385242214,5.6949825977370105,6.285592618210104,4.107479028065882,modal bin (continuous)
month_sin,Calendar,-,True,True,sin(2 pi m / 12).,Cyclic encoding so December and January are adjacent.,_prepare_features,81183,0.0,100.0,-0.05921996654616468,0.7188594702300094,-1.0,-1.0,-0.8660254037844384,-2.4492935982947064e-16,0.49999999999999994,1.0,1.0,-0.866025,19.1% of rows
month_cos,Calendar,-,True,True,cos(2 pi m / 12).,"Cyclic encoding, paired with month_sin.",_prepare_features,81183,0.0,100.0,-0.08919748861583883,0.6868608779421992,-1.0,-1.0,-0.8660254037844387,-1.8369701987210297e-16,0.5000000000000001,1.0,1.0,-0.866025,19.1% of rows
doy_sin,Calendar,-,True,True,"sin(2 pi d / 366), d = day of year (1-366).","Divides by 366 in every year, including non-leap years.",_prepare_features,81183,0.0,100.0,-0.030737673155650458,0.724150024880805,-0.9999631612477099,-0.999668467514313,-0.7567706633464625,-0.1028209971373608,0.7221165966101162,0.999668467514313,0.9999631612477099,-0.9896717828391699,modal bin (continuous)
doy_cos,Calendar,-,True,True,cos(2 pi d / 366).,Paired with doy_sin.,_prepare_features,81183,0.0,100.0,-0.10016759456102627,0.6816365526539517,-1.0,-0.9994106342455054,-0.7623536388483905,-0.17928075881073566,0.5582437220268645,0.9986740898848305,1.0,-0.9894202106248537,modal bin (continuous)
is_winter_jfm,Calendar,0/1,True,True,"1 if m in {1, 2, 3}, else 0.",From `_season_from_month`: JFM -> winter_jfm.,_prepare_features,81183,0.0,100.0,0.1985267851643817,0.39889083812075343,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,80.1% of rows
is_summer_jas,Calendar,0/1,True,True,"1 if m in {7, 8, 9}, else 0.",JAS -> summer_jas.,_prepare_features,81183,0.0,100.0,0.2962689232967493,0.45661104715647677,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,70.4% of rows
is_other,Calendar,0/1,True,True,"1 if m in {4, 5, 6, 10, 11, 12}, else 0.",All remaining months.,_prepare_features,81183,0.0,100.0,0.5052042915388689,0.49997291461596044,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,50.5% of rows
model_interp_tchp_kj_per_cm2,Raw model state,kJ/cm^2,True,True,RTOFS Tropical Cyclone Heat Potential at the profile position: heat above the 26 C isotherm.,"Daily field: TCHP = 1e-7 * sum over HYCOM layers above D26 of rho * cp * max(T - 26, 0) * dz_eff, with rho = gsw.rho_t_exact(SA, T, p) and cp = gsw.cp_t_exact(SA, T, p) (TEOS-10), layer thickness = HYCOM thickness (Pa) / 9806, dz_eff the full layer if it lies above D26 or the part above D26 if it straddles it. Source: rtofs_glo.t00z.f06.archv (00Z cycle, 6-h forecast). Then sampled to the Argo position by inverse-distance-squared weighting over the 8 nearest RTOFS grid cells: F = sum(w_i F_i) / sum(w_i), w_i = 1/d_i^2, missing neighbours excluded. NaN where the column never reaches 26 C.",build_rtofs_global_daily_tchp_fields.py (~L103-160); collocation in build_rtofs_at_argo_points_multiyear.py,81183,0.0,29.840119522900288,51.79245746794886,41.45293289975539,3.4461689210729674e-05,0.11968472093343738,18.816555976867676,42.060081481933594,76.17576217651367,171.1938372802734,277.0290222167969,0.9751479852199555,modal bin (continuous)
model_interp_d26_m,Raw model state,m,True,True,RTOFS depth of the 26 C isotherm at the profile position.,"Daily field: first HYCOM layer (from the surface) with T <= 26 C, linearly interpolated between that layer's centre depth and the one above: D26 = z1 + (T1 - 26)/(T1 - T2) * (z2 - z1). Requires the top layer to be >= 26 C. Then sampled to the Argo position by inverse-distance-squared weighting over the 8 nearest RTOFS grid cells: F = sum(w_i F_i) / sum(w_i), w_i = 1/d_i^2, missing neighbours excluded.",build_rtofs_global_daily_tchp_fields.py (~L118-134),81183,0.0,29.840119522900288,65.96049866806959,31.419537931282324,0.5022479295730591,5.317603225708009,42.470436096191406,63.699485778808594,86.7815055847168,145.01728363037105,199.49270629882812,64.6911444067955,modal bin (continuous)
model_ssh_m,Global physics,m,True,True,RTOFS sea-surface height.,"Variable `ssh` in rtofs_glo_2ds_f006_diag.nc (00Z, 6-h forecast); sampled to the Argo position by inverse-distance-squared weighting over the 8 nearest RTOFS grid cells: F = sum(w_i F_i) / sum(w_i), w_i = 1/d_i^2, missing neighbours excluded.",build_rtofs_global_physics_features_2024_2025.py,81183,0.0,99.9150693084038,0.46929773133053115,0.34445373340200003,-0.6476489305496216,-0.4267486935853958,0.24405044317245483,0.48748910427093506,0.7012484073638916,1.2457690143585187,1.6998002529144287,0.6520073662698268,modal bin (continuous)
model_mixed_layer_thickness_m,Global physics,m,True,True,RTOFS mixed-layer thickness (HYCOM's own diagnostic).,"Variable `mixed_layer_thickness` in the 2D diagnostic file; sampled to the Argo position by inverse-distance-squared weighting over the 8 nearest RTOFS grid cells: F = sum(w_i F_i) / sum(w_i), w_i = 1/d_i^2, missing neighbours excluded.",build_rtofs_global_physics_features_2024_2025.py,81183,0.0,99.9150693084038,30.977080899681187,18.821201219016604,0.6227193474769592,1.0561347103118897,16.669814109802246,28.99863624572754,42.73553657531738,82.70773712158197,141.98626708984375,25.95947989165783,modal bin (continuous)
model_surface_boundary_layer_thickness_m,Global physics,m,True,True,RTOFS surface boundary-layer thickness (HYCOM's own diagnostic).,"Variable `surface_boundary_layer_thickness` in the 2D diagnostic file; sampled to the Argo position by inverse-distance-squared weighting over the 8 nearest RTOFS grid cells: F = sum(w_i F_i) / sum(w_i), w_i = 1/d_i^2, missing neighbours excluded.",build_rtofs_global_physics_features_2024_2025.py,81183,0.0,99.9150693084038,12.867775708286088,15.222648346960083,1.0063225030899048,1.0091966199874878,1.0102837085723877,5.864217281341553,20.448379516601562,61.173561477660854,111.4572525024414,1.3099826687574387,modal bin (continuous)
model_temp_excess_26c,Global physics,deg C,True,True,"T_s - 26, where T_s is RTOFS surface temperature.","T_s = top-layer temperature from the daily TCHP field (`surface_temp_c`), sampled to the Argo position by inverse-distance-squared weighting over the 8 nearest RTOFS grid cells: F = sum(w_i F_i) / sum(w_i), w_i = 1/d_i^2, missing neighbours excluded; then `surf_t - 26.0`. Negative means the surface is below 26 C.",build_rtofs_global_physics_features_2024_2025.py:172,81183,0.0,99.9150693084038,2.3958726390749674,1.351485778691622,-1.4872875213623047,-0.023519973754882812,1.3000364303588867,2.402811050415039,3.4339284896850586,5.221596298217771,9.070743560791016,2.6252414894104,modal bin (continuous)
d26_minus_mlt_m,Global physics (derived),m,True,True,model_interp_d26_m - model_mixed_layer_thickness_m.,Thickness of the warm layer below the mixed layer. Negative if D26 lies inside the mixed layer.,build_rtofs_global_physics_features_2024_2025.py,81183,0.0,29.840119522900288,34.9834177649964,31.405987921935065,-106.04251098632812,-21.1590616607666,11.556632995605469,28.347936630249023,51.95463752746582,124.50540649414049,182.1031494140625,7.248926181793216,modal bin (continuous)
d26_to_sblt_ratio,Global physics (derived),-,True,True,model_interp_d26_m / model_surface_boundary_layer_thickness_m.,How many boundary-layer depths the 26 C isotherm sits below the surface.,build_rtofs_global_physics_features_2024_2025.py:186,81183,0.0,29.840119522900288,27.04286084965928,33.91954095581574,0.017183907330036163,0.8572205436229706,2.5734286308288574,10.295625686645508,41.447296142578125,131.6209841918945,197.61517333984375,1.5110572889447211,modal bin (continuous)
model_ssh_x_abs_lat,Global physics (interaction),m * deg,True,False,model_ssh_m * |lat|.,Lets a single split act differently by latitude.,build_rtofs_global_physics_features_2024_2025.py:193,81183,0.0,99.9150693084038,6.30734987520818,8.57109666212719,-25.600465774536133,-15.697933387756347,0.9679536819458008,3.98586106300354,9.535982608795166,33.94184280395503,53.4656867980957,0.4364994049072255,modal bin (continuous)
model_mlt_x_abs_lat,Global physics (interaction),m * deg,True,True,model_mixed_layer_thickness_m * |lat|.,As above.,build_rtofs_global_physics_features_2024_2025.py:194,81183,0.0,99.9150693084038,401.35841540594674,378.45237254440997,0.0,1.4018494296073916,105.21710586547852,302.9345703125,590.2698974609375,1666.1882666015563,4195.61328125,9.725519083738327,modal bin (continuous)
model_temp_excess_x_abs_lat,Global physics (interaction),deg C * deg,True,False,model_temp_excess_26c * |lat|.,As above.,build_rtofs_global_physics_features_2024_2025.py:195,81183,0.0,99.9150693084038,29.4450891939218,27.71549773601322,-59.280696868896484,-0.23516309320926662,8.483726024627686,21.276119232177734,42.104366302490234,119.57595581054682,219.8453369140625,0.36406580835580826,modal bin (continuous)
model_tchp_local_std_1deg,Neighbourhood stencil,kJ/cm^2,True,True,Standard deviation of RTOFS TCHP within about 1 degree of the profile.,"Population std (ddof=0) of valid cells, h = 12 cells (~2 x 2 degree box); from the daily RTOFS field at the nearest grid cell (y0, x0); square window |y - y0| <= h, |x - x0| <= h cells on the native 1/12-degree grid (longitude wraps); valid (finite) cells only, and NaN unless valid cells cover >= 25% of the window.",build_rtofs_neighborhood_features_2024_2025.py,80932,0.30917802988310594,30.536923153222407,8.056847477562137,5.2783692142439875,0.05814299359917641,1.0311474299430847,4.405274748802185,6.848285913467407,10.344167232513428,26.641960887908937,89.06864929199219,5.001279438138008,modal bin (continuous)
model_tchp_local_std_2deg,Neighbourhood stencil,kJ/cm^2,True,True,Standard deviation of RTOFS TCHP within about 2 degrees of the profile.,"As the 1-degree version with h = 25 cells (~4 x 4 degree box); from the daily RTOFS field at the nearest grid cell (y0, x0); square window |y - y0| <= h, |x - x0| <= h cells on the native 1/12-degree grid (longitude wraps); valid (finite) cells only, and NaN unless valid cells cover >= 25% of the window.",build_rtofs_neighborhood_features_2024_2025.py,80830,0.4348200978037231,31.244265628487117,11.750523650875175,6.776120886041866,0.0746133029460907,1.7368897998332977,6.85780668258667,10.467278003692627,15.162230730056763,34.12961215972903,75.95198059082031,7.72979262471199,modal bin (continuous)
model_tchp_grad_mag_per_100km,Neighbourhood stencil,kJ/cm^2 per 100 km,True,True,Magnitude of the horizontal gradient of RTOFS TCHP.,"100 * sqrt(((F[y0,x0+1] - F[y0,x0-1]) / (2 dx))^2 + ((F[y0+1,x0] - F[y0-1,x0]) / (2 dy))^2), centred differences at the nearest grid cell, dx and dy the local grid spacings in km (dx shrinks with cos lat). NaN if any of the four neighbours is missing.",build_rtofs_neighborhood_features_2024_2025.py::_grad_mag_per_100km,79129,2.5300863481270697,28.775076251642822,23.363257698072015,22.63763689034837,0.021386779844760895,1.1643502807617188,9.329384803771973,17.191356658935547,29.781789779663086,111.01922454833988,595.340576171875,10.500240480899812,modal bin (continuous)
model_tchp_anom_from_1deg_mean,Neighbourhood stencil,kJ/cm^2,True,True,How much RTOFS TCHP at the profile's grid cell departs from its own 1-degree neighbourhood mean.,"F[y0, x0] - mean of valid cells in the h = 12 window; from the daily RTOFS field at the nearest grid cell (y0, x0); square window |y - y0| <= h, |x - x0| <= h cells on the native 1/12-degree grid (longitude wraps); valid (finite) cells only, and NaN unless valid cells cover >= 25% of the window. Uses the nearest-cell value, not the interpolated one. Biased near the 26 C edge because sub-threshold cells are excluded rather than counted as zero.",build_rtofs_neighborhood_features_2024_2025.py:165,79998,1.4596652008425415,29.167803208768316,0.18713958300804256,6.341121954635585,-55.79313659667969,-16.124311561584474,-2.9696693420410156,-0.11197233200073242,3.0792884826660156,19.26416442871093,91.26174926757812,-0.022361927032471307,modal bin (continuous)
model_d26_local_std_1deg,Neighbourhood stencil,m,True,True,Standard deviation of RTOFS D26 within about 1 degree of the profile.,"Population std (ddof=0) of valid cells, h = 12 cells (~2 x 2 degree box); from the daily RTOFS field at the nearest grid cell (y0, x0); square window |y - y0| <= h, |x - x0| <= h cells on the native 1/12-degree grid (longitude wraps); valid (finite) cells only, and NaN unless valid cells cover >= 25% of the window.",build_rtofs_neighborhood_features_2024_2025.py,80932,0.30917802988310594,30.536923153222407,8.162570778303511,5.08848299761052,0.17308631539344788,2.0897944283485415,4.698662281036377,6.834337472915649,10.064244985580444,27.388524913787872,58.679805755615234,4.492417250871658,modal bin (continuous)
model_d26_grad_mag_per_100km,Neighbourhood stencil,m per 100 km,True,True,Magnitude of the horizontal gradient of RTOFS D26.,"100 * sqrt(((F[y0,x0+1] - F[y0,x0-1]) / (2 dx))^2 + ((F[y0+1,x0] - F[y0-1,x0]) / (2 dy))^2), centred differences at the nearest grid cell, dx and dy the local grid spacings in km (dx shrinks with cos lat). NaN if any of the four neighbours is missing.",build_rtofs_neighborhood_features_2024_2025.py::_grad_mag_per_100km,79129,2.5300863481270697,28.775076251642822,25.379322915562934,29.352354034535697,0.09328273683786392,1.6898376417160035,10.154434204101562,17.97859764099121,30.590303421020508,135.4943572998048,745.8229370117188,10.384630853533746,modal bin (continuous)
